epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16403,0,71.4044,0,0,0,0,0,0,54.8534,0,0,0,0
2,8.54893,0,71.3709,0,0,0,0,0,0,54.8804,0,1.40071e-05,1.40071e-05,1.40071e-05
3,12.9051,0,71.3317,0,0,0,0,0,0,54.9168,0,2.74482e-05,2.74482e-05,2.74482e-05
4,16.9529,0,70.9494,0,0,0,0,0,0,54.9559,0,4.03235e-05,4.03235e-05,4.03235e-05
5,21.1966,0,70.7013,0,0,0,0,0,0,54.9986,0,5.26329e-05,5.26329e-05,5.26329e-05
6,25.3489,0,70.3938,0,0,0,0,0,0,55.0396,0,6.43764e-05,6.43764e-05,6.43764e-05
7,29.2541,0,69.9949,0,0,0,0,0,0,55.0689,0,7.55541e-05,7.55541e-05,7.55541e-05
8,33.3593,0,69.568,0,0,0,0,0,0,55.0808,0,8.61658e-05,8.61658e-05,8.61658e-05
9,37.492,0,69.3319,0,0,0,0,0,0,55.0791,0,9.62117e-05,9.62117e-05,9.62117e-05
10,41.7138,0,68.8622,0,0,0,0,0,0,55.0623,0,0.000105692,0.000105692,0.000105692
11,45.7777,0,68.5054,0,0,0,0,0,0,55.0315,0,0.000114606,0.000114606,0.000114606
12,49.7311,0,67.951,0,0,0,0,0,0,54.9904,0,0.000122954,0.000122954,0.000122954
13,54.0737,0,67.3848,0,0,0,0,0,0,54.9553,0,0.000130736,0.000130736,0.000130736
14,58.5398,0,66.9632,0,0,0,0,0,0,54.918,0,0.000137953,0.000137953,0.000137953
15,68.6669,0,66.3091,0,0,0,0,0,0,54.8913,0,0.000144603,0.000144603,0.000144603
16,79.9202,0,65.7647,0,0,0,0,0,0,54.8599,0,0.000150688,0.000150688,0.000150688
17,90.7065,0,65.0516,0,0,0,0,0,0,54.8156,0,0.000156207,0.000156207,0.000156207
18,101.438,0,64.4475,0,0,0,0,0,0,54.8156,0,0.00016116,0.00016116,0.00016116
19,111.849,0,64.3012,0,0,0,0,0,0,54.7982,0,0.000165547,0.000165547,0.000165547
20,121.991,0,63.5458,0,0,0,0,0,0,54.7982,0,0.000169368,0.000169368,0.000169368
21,133.817,0,63.6412,0,0,0,0,0,0,54.787,0,0.000172623,0.000172623,0.000172623
22,143.386,0,62.8514,0,0,0,0,0,0,54.787,0,0.000175313,0.000175313,0.000175313
23,154.253,0,62.963,0,0,0,0,0,0,54.7665,0,0.000177436,0.000177436,0.000177436
24,164.309,0,62.0895,0,0,0,0,0,0,54.7665,0,0.000178994,0.000178994,0.000178994
25,176.283,0,61.9394,0,0,0,0,0,0,54.7305,0,0.000179985,0.000179985,0.000179985
26,185.845,0,61.0515,0,0,0,0,0,0,54.7305,0,0.000180411,0.000180411,0.000180411
27,196.786,0,61.6013,0,0,0,0,0,0,54.6848,0,0.000180271,0.000180271,0.000180271
28,201.654,0,60.5924,0,0,0,0,0,0,54.6848,0,0.000179565,0.000179565,0.000179565
29,206.167,0,62.1905,0,0,0,0,0,0,54.6035,0,0.000178293,0.000178293,0.000178293
30,210.319,0,60.1441,0,0,0,0,0,0,54.6035,0,0.000176456,0.000176456,0.000176456
31,214.764,0,60.2739,0,0,0,0,0,0,54.4881,0,0.000174052,0.000174052,0.000174052
32,218.941,0,59.7347,0,0,0,0,0,0,54.4881,0,0.000171083,0.000171083,0.000171083
33,223.753,0,59.5568,0,0,0,0,0,0,54.3703,0,0.000167547,0.000167547,0.000167547
34,227.984,0,59.1842,0,0,0,0,0,0,54.3703,0,0.000163446,0.000163446,0.000163446
35,232.401,0,58.9244,0,0,0,0,0,0,54.2284,0,0.000158779,0.000158779,0.000158779
36,236.333,0,58.6336,0,0,0,0,0,0,54.2284,0,0.000153546,0.000153546,0.000153546
37,240.908,0,58.3464,0,0,0,0,0,0,54.0588,0,0.000147747,0.000147747,0.000147747
38,245.446,0,57.7092,0,0,0,0,0,0,54.0588,0,0.000141382,0.000141382,0.000141382
39,249.651,0,58.278,0,0,0,0,0,0,53.8333,0,0.000134452,0.000134452,0.000134452
40,253.77,0,57.2214,0,0,0,0,0,0,53.8333,0,0.000126955,0.000126955,0.000126955
41,258.213,0,58.3294,0,0,0,0,0,0,53.6205,0,0.000118893,0.000118893,0.000118893
42,262.492,0,56.8867,0,0,0,0,0,0,53.6205,0,0.000110264,0.000110264,0.000110264
43,266.986,0,58.3537,0,0,0,0,0,0,53.4568,0,0.00010107,0.00010107,0.00010107
44,271.198,0,56.4269,0,0,0,0,0,0,53.4568,0,9.13102e-05,9.13102e-05,9.13102e-05
